Key,Description,Standard,Kobun
SAY.Flowchart.966.Nnnnnnn,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,
SAY.Flowchart.1027.Nnnnnnn,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,
SAY.Flowchart.1026.Nnnnnnn,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,
SAY.Flowchart.1025.Nnnnnnn,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,
SAY.Flowchart.1024.Nnnnnnn,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,
SAY.Flowchart.1023.Nnnnnnn,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,
SAY.Flowchart.1022.Nnnnnnn,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,
SAY.Flowchart.974.Nnnnnnn,,それでは問題です。,
SAY.Flowchart.975.Nnnnnnn,,アルファベットで14個目のアルファベットは何？,
MENU.Flowchart.977,,N,
MENU.Flowchart.978,,P,
SAY.Flowchart.981.Nnnnnnn,,正解！！次の問題です。,
SAY.Flowchart.982.Nnnnnnn,,窒素の元素記号は何？,
MENU.Flowchart.984,,N,
MENU.Flowchart.985,,H,
SAY.Flowchart.988.Nnnnnnn,,残念、不正解！！,
SAY.Flowchart.991.Nnnnnnn,,残念、不正解！！,
SAY.Flowchart.994.Nnnnnnn,,正解！！次の問題です。\n◯に入る文字を答えてください。,
SAY.Flowchart.995.Nnnnnnn,,"以下の公理を満たす4つ組（G, B, N, ◯）をティッツ系と呼びます。",
SAY.Flowchart.996.Nnnnnnn,,ただし G は群、B と N はその部分群であり、◯ は N/(B ∩ N) の部分集合である。,
SAY.Flowchart.997.Nnnnnnn,,1. 集合 B ∪ N は G を生成し、T = B ∩ G は N の正規部分群である。,
SAY.Flowchart.998.Nnnnnnn,,2. 集合 ◯ は群 W = N/T を生成し、◯ の元の位数は 2 である。,
SAY.Flowchart.999.Nnnnnnn,,"3. s ∈ ◯, w ∈ W ならば sBw ⊂ BwB ∪ BswB が成り立つ。",
SAY.Flowchart.1000.Nnnnnnn,,4. s ∈ ◯ ならば sBs!⊂B が成り立つ,
SAY.Flowchart.1001.Nnnnnnn,,B を G の（狭義の）ボレル部分群、T を G のカルタン部分群、W を G のワイル群と呼び、W の生成系 ◯ は W の優生成系あるいはルート系と呼ばれる。,
SAY.Flowchart.1002.Nnnnnnn,,"また、◯ の元はルートあるいは鏡映という。(W, ◯) はコクセター系を成し、特に生成系 ◯ の位数をティッツ系の階数と呼ぶ。",
SAY.Flowchart.1003.Nnnnnnn,,"(G, B, N, ◯) がティッツ系ならば、W のルート系 ◯ は (G, B, N)によって一意に決定される。そのため群 G はBN対あるいは (B, N)-対を持つともいう。",
SAY.Flowchart.1004.Nnnnnnn,,定義における B は一般線型群 GLn(K) の上半三角行列全体の成す群の類似であり、同じく T は正則対角行列の、N は T の正規化群のそれぞれ類似対応物である。,
MENU.Flowchart.1006,,A,
MENU.Flowchart.1007,,D,
MENU.Flowchart.1008,,G,
MENU.Flowchart.1009,,N,
MENU.Flowchart.1010,,P,
MENU.Flowchart.1011,,S,
SAY.Flowchart.1014.Nnnnnnn,,残念！！不正解！！！\n適当に答えずにしっかり問題文見ましょうね^^,
SAY.Flowchart.1017.Nnnnnnn,,正解！！すごいね！！,
SAY.Flowchart.1020.Nnnnnnn,,残念！！不正解！！！！,
SAY.Flowchart.1021.Nnnnnnn,,しっかり考えてから問題の解答をしましょうね^^,
SAY.Flowchart.1032.,,おやおや、Eルームへようこそ。やっと来客が来たね。,
SAY.Flowchart.1033.,,キミの目当ては、”友情の剣”、かな？,
SAY.Flowchart.1105.,,まあ、入りな。,
SAY.Flowchart.1038.名無しの勇者,,僕は名無しって呼ばれてる。これでも古くからの冒険者ギルドの立派な冒険者だよ。,
SAY.Flowchart.1039.名無しの勇者,,名前が無いわけじゃない。ただ一つに定まらないだけさ。,
SAY.Flowchart.1043.名無しの勇者,,ここに伝わる伝承があることは、きっとナレ爺から聞いただろう。\nよくここまで辿り着いてくれたね。”勇者”さん。,
SAY.Flowchart.1042.名無しの勇者,,その通り、ここは友情の剣に大きく関わる部屋だ。,
SAY.Flowchart.1041.名無しの勇者,,信じられるかい？二階はかつては大きな町だったんだ。\n人がいて、家があって、一階よりも大きな町だったんだよ。,
SAY.Flowchart.1040.名無しの勇者,,そしてこの部屋もかつては町だった。町外れだったけどね。\nここには泉があって、いつも賑わっていたんだよ。,
SAY.Flowchart.1046.名無しの勇者,,「友情の泉」なんて言われたモンさ。,
SAY.Flowchart.1048.名無しの勇者,,でも100年前、全てはヌシによって壊された。\n家も、町も、ここの泉も壊された。,
SAY.Flowchart.1056.名無しの勇者,,全てが壊され、やがて日常が壊されたんだ。,
SAY.Flowchart.1055.名無しの勇者,,そこに、一人の勇者が現れた。,
SAY.Flowchart.1054.名無しの勇者,,よそ行きの服装で、三本の剣を携えた勇者だ。,
SAY.Flowchart.1053.名無しの勇者,,勇者は三本の剣を合わせて振り、心に宿す強大な魔力でヌシを制圧したんだ。,
SAY.Flowchart.1121.名無しの勇者,,そして...,
SAY.Flowchart.1051.名無しの勇者,,勇者は消え、三本の剣はバラバラに。{w=1}\nでも、三本の剣はこの世界に残ったんだ。,
SAY.Flowchart.1050.名無しの勇者,,友情の剣は、ここ友情の泉に。,
SAY.Flowchart.1049.名無しの勇者,,夢の剣は、ナイジェリアに。,
SAY.Flowchart.1064.名無しの勇者,,勇気の剣は、どこかに消えてしまった。,
SAY.Flowchart.1063.名無しの勇者,,さあ、勇者さん。,
SAY.Flowchart.1062.名無しの勇者,,"もしキミの持っているその剣が本当に勇気の剣なら、\n集める剣は”あと""一本”だね。",
SAY.Flowchart.1061.{$player_name},,"あと""一本""...？",
SAY.Flowchart.1102.名無しの勇者,,友情の剣、夢の剣、そして勇気の剣。\n一本も欠かず三本を集めて初めて、ひとつなぎの剣「Y」は完成する。,
SAY.Flowchart.1060.名無しの勇者,,これ、友情の剣だよ。受け取って。,
SAY.Flowchart.1059.{$player_name},,？！,
SAY.Flowchart.1071.名無しの勇者,,なあに、簡単な話さ。\nただ僕が偶然友情の剣を持ってただけ。,
SAY.Flowchart.1070.名無しの勇者,,なんでだろうね。不思議な話だけど、今ここに友情の剣がある。,
SAY.Flowchart.1069.名無しの勇者,,そして何か試練があるわけでもなく、特別に飾ることもなく、\nただこうやって渡すだけだ。,
SAY.Flowchart.1068.名無しの勇者,,でも、友情ってそういうモンだと思わないかい？,
SAY.Flowchart.1067.名無しの勇者,,苦しくも夢の剣はヌシが持っている。\nキミはその二本で戦うしかないね。でもきっと大丈夫さ。,
SAY.Flowchart.1066.名無しの勇者,,剣を奪って、次はキミが伝説になるんだ。,
SAY.Flowchart.1065.名無しの勇者,,受け取りな。そして、頑張るんだよ、勇者さん。,
SAY.Flowchart.1074.,,「友情の剣」を受け取った！,
SAY.Flowchart.1098.{$player_name},,ヌシはすぐそこだ。,
SAY.Flowchart.1099.{$player_name},,戦うしか...ない！,
SAY.Flowchart.1127.{$player_name},,君はナレ爺かな？,
SAY.Flowchart.1128.Mosscama,,MOSSCAMA~~~~~,
SAY.Flowchart.1137.NATO,,もしかして、ナレ爺ですか？,
SAY.Flowchart.1138.NATO,,NATOOOOOOOOO!!!,
SAY.Flowchart.1139.NATO,,NATOの序文読みます,
SAY.Flowchart.1140.NATO,,The Parties to this Treaty reaffirm their faith in the purposes and principles of the Charter of,
SAY.Flowchart.1141.NATO,,the United Nations and their desire to live in peace with all peoples and all governments.,
SAY.Flowchart.1142.NATO,,"They are determined to safeguard the freedom, common heritage and civilisation of their peoples, founded on the principles of democracy,",
SAY.Flowchart.1143.NATO,,individual liberty and the rule of\nlaw. They seek to promote stability and well-being in the North Atlantic area.\n,
SAY.Flowchart.1144.NATO,,They are resolved to unite their efforts for collective defence and for the preservation of peace and security.,
SAY.Flowchart.1145.NATO,,They therefore agree to this North Atlantic Treaty:\nArticle 1\nThe Parties underta,
SAY.Flowchart.1146.{$player_name},,...,
SAY.Flowchart.1151.,,（空気が一段と重くなった。）,
SAY.Flowchart.1179.ヌシ,,ついに、ついにか。ハッハッハ。,
SAY.Flowchart.1157.ヌシ,,"なんて言うとでも思ったか。{w=1}\n""２週目""の小僧。",
SAY.Flowchart.1160.ヌシ,,ここはナイジェリア。{w=1}\n使命を果たさなかった者たちの監獄だ。,
SAY.Flowchart.1161.ヌシ,,ここにいる者は使命と戦う。{w=1}\nあるいは己との戦いか。,
SAY.Flowchart.1162.ヌシ,,何とも素晴らしい。\nこの世界は使命の元で平等なのだ。,
SAY.Flowchart.1163.ヌシ,,使命を課し、それを淡々とこなすだけの簡単な人生。{w=1}\n羨ましい。実に素晴らしいものではないか。,
SAY.Flowchart.1165.ヌシ,,やがて使命を遂げた者は世界の一節に戻る。,
SAY.Flowchart.1167.ヌシ,,"使命を遂げなかった者は、{w=1}\n""転生""する。{w=2}",
SAY.Flowchart.1169.ヌシ,,小僧、{w=1}お前はここに来て何を思う？,
SAY.Flowchart.1378.ヌシ,,{s=30}この広い世界の中で、この繰り返す世界で、\nお前は何を思う？{/s},
SAY.Flowchart.1174.ヌシ,,お前の使命を見せてみろ。,
SAY.Flowchart.1191.,,鋭い一撃でヌシの右腕を薙ぎ払った。,
SAY.Flowchart.1192.{$player_name},,剣が落ちた。今だ！＿＿＿＿＿＿＿,
SAY.Flowchart.1228.,,「夢の剣」を手に入れた。,
SAY.Flowchart.1231.,,ヌシが口を開く。,
SAY.Flowchart.1232.ヌシ,,私はお前の同位体だ。\nかつて結末をその身を持って体感しただろう。,
SAY.Flowchart.1233.ヌシ,,繋がった体は同じ代償を負う。\nお前が俺を倒した時、お前もまた、お前自身に倒されるのだ。,
SAY.Flowchart.1353.,,"そう。繋がっている。\nあの時見た、""失望した僕""を思い出した。",
SAY.Flowchart.1354.,,かつて僕が、世界と向き合うのをやめた日、\n生きる勇気を失った日。,
SAY.Flowchart.1355.,,"""ヌシ""は、まさにその時に生まれた、\n僕自身から生まれた厄災だ。",
SAY.Flowchart.1356.,,"今は、""向き合う時""だ。\n",
SAY.Flowchart.1236.,,ヌシが振りかざした一撃に、\n勇者は勇気の剣で切り掛かった。{w=1}その時だった。,
SAY.Flowchart.1237.,,{s=30}勇気の剣は、{flash=0.5}真っ二つに折れてしまった。{/s},
SAY.Flowchart.1243.,,{s=30}勇気の剣は、{w=1}偽物だった。{/s},
SAY.Flowchart.1242.,,しかし、勇者は気づいていた。,
SAY.Flowchart.1361.,,"勇者と長い旅路を共にした剣。\nたとえその剣が偽物だったとしても、\n自分自身が確かな""勇気""を手に入れていたことを。",
SAY.Flowchart.1360.,,"この旅路で一度も逃げずに戦い抜いた。\nそして今、僕はここにいる。\nそれこそが僕の示した使命、""勇気""だ！",
SAY.Flowchart.1244.,,間も無く、\n勇者は残り二本の剣を、{w=1}己の身体に向けた。,
SAY.Flowchart.1357.{$player_name},,"{punch=3,1}{size=70}勇気の剣はここにある！{/size}",
MENU.Flowchart.1301,,勇者を貫く,
SAY.Flowchart.1276.,,精一杯に伸びた勇者の刃は、,
SAY.Flowchart.1370.,,{s=1000}精一杯に伸びた勇者の刃は、{/s}{flash=0.3}{w=1}勇者を貫いた。,
SAY.Flowchart.1277.,,ここまでの冒険を成し遂げた勇者の携えた剣は、勇気の剣ではなかった。{w=1}\n勇気の剣は、勇者の心に宿っていた。,
SAY.Flowchart.1278.,,Yが完成する。その光はますます大きくなってゆく。,
SAY.Flowchart.1289.,,身体が弾けるほどの閃光は、気づけばヌシを貫いていた。,
SAY.Flowchart.1304.,,またあの姿が見えたような気がした。{w=1}\nしかし、彼の目は笑っていた。,
SAY.Flowchart.1323.,,起きた！？起きたぞ！！,
SAY.Flowchart.1324.,,ここは一体・・・？,
SAY.Flowchart.1325.,,見知らぬ天井、{w=1}僕は病床に入っていた。,
SAY.Flowchart.1326.,,そして目の前には、{w=1}\n懐かしい友達の姿の数々があった。,
SAY.Flowchart.1335.,,今僕はこうして生きている。,
SAY.Flowchart.1336.,,あの世界はなんだったのかはわからない。\nしかし、Yが揃ったように心に何かを取り戻したように思えた。,
SAY.Flowchart.1337.,,僕はゲームに救われた。{w=1}\nただその事実が胸に残っていた。,
SAY.Flowchart.1350.,,夢の剣、友情の剣、そして、勇気の剣。\n全てが確かに心の中に残っていた。,
SAY.Flowchart.1340.,,やがて進路を見据え直した僕は、ゲーム会社に就職した。,
SAY.Flowchart.1341.,,ゲームで人を楽しませたい、そして救いたい。\n自分の経験からそんな思いが芽生えたからだ。,
SAY.Flowchart.1342.,,さらに数年、開発に専念し続けていた僕は、\nふと制作メンバーに声をかける。,
SAY.Flowchart.1343.,,「作りたいゲームがあるんだ。」,
SAY.Flowchart.1344.,,友達を連れ、夢を持って、強い決心で開発は始まった。,
SAY.Flowchart.1351.,,何度も挫折し、時には友情をも危うくしながらも、勇気を持って日々開発に励んだ。,
SAY.Flowchart.1345.,,そして、長い歳月の末、ゲームは完成した。,
SAY.Flowchart.1346.,,異世界転生した主人公が勇者として魔王を倒す王道RPGだ。,
SAY.Flowchart.1347.,,{s=20}名前は、{w=1}「Y-RPG」である。{/s},
SAY.Flowchart.1376.,,『Y-RPG』{w=1}\n制作：Y-RPGめんめんめんめ,
SAY.Flowchart.1392.パチ,,パチパチパチパチパチパチパチパチ！！,
SAY.Flowchart.1391.パチ,,パチモン、ゲットだぜ！！！！,
SAY.BattleFlowchart.384.ヌシ,,さあ、始めようか。,
SAY.BattleFlowchart.188.,,{$enemy_name}(Lv.{$enemy_lv})が現れた！,
MENU.BattleFlowchart.216,,攻撃,
SAY.BattleFlowchart.375.,,{$_player_name}の攻撃！ クリティカル！{$enemy_name}に{$damage}ダメージ！,
SAY.BattleFlowchart.376.,,{$_player_name}の攻撃！ {$enemy_name}に{$damage}ダメージ！,
SAY.BattleFlowchart.275.,,{$enemy_name}の攻撃！\n{$_player_name}に{$damage}ダメージ！,
SAY.BattleFlowchart.281.,,{$enemy_name}を倒した！,
SAY.BattleFlowchart.288.,,{$_player_name}は倒れた。,
CHARACTER.作業員,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",作業員,
CHARACTER.ヌシ,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",ヌシ,
CHARACTER.{$player_name},"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",{$player_name},
CHARACTER.NPC,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",NPC,
CHARACTER.ナレ爺,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",ナレ爺,
CHARACTER.Mosscama,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",Mosscama,
CHARACTER.NATO,NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n\nNPCに会話を導入：\n1. MessageTriggerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加,NATO,
CHARACTER.名無しの勇者,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",名無しの勇者,
CHARACTER.門番,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",門番,
CHARACTER.もも,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",もも,
CHARACTER.斎藤,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",斎藤,
CHARACTER.Sato,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",Sato,
CHARACTER.受付,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",受付,
CHARACTER.TA田中,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",TA田中,
CHARACTER.長谷川,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",長谷川,
CHARACTER.旅人,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",旅人,
CHARACTER.パチ,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",パチ,
CHARACTER.Nちゃん,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",Nちゃん,
CHARACTER.TA1,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",TA1,
CHARACTER.Nnnnnnn,"NPCの作成手順：\n1. NameText ・オブジェクト名を好きな名前に変更\n2. SpriteRendererのSpriteに見た目のファイルを突っ込む\n3. NPCManagerのFlowchartにFlowchartを紐付け\n4. 同様にPlayerを紐付け\n\nNPCに会話を導入：\n1. NPCManagerのMessageに任意の文字列を入れる\n2. FlowchartWindowからブロックを追加\n3. ExecuteOnEventにMessage Recievedを設定\n4. +ボタンで会話を追加\n\nNPCを歩かせる：\n1. NPCAnimController・Animatorを有効化\n2. アニメーションを作成→Animatorに紐付け\n3. スクリプトからWalk(string 方向, int 秒);で移動",Nnnnnnn,
